epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,322,50.06211180124221,0,430,1,0,50000,0.0324538,0,0,75.15702300000001,75.15692800000001,665.2746637009964
1,train,250000,1637,46.74404398289558,0,525,0.7750009,250000,300000,1.05923,0.011239696874492507,62500,2358.946258,2283.770098,109.46811161900062
1,test,125000,233,127.08154506437765,60,340,0.05,250000,300000,1.05923,0,62500,3405.749969,1046.7787170000001,119.41396779468529
2,train,250000,1582,64.64917825537293,0,500,0.5500008999999999,500000,550000,2.49568,0.0080206380347633555,125000,6282.844638,2877.0868929999997,86.89344788586475
2,test,125000,182,308.9010989010989,100,905,0.05,500000,550000,2.49568,0,125000,7329.967325,1047.09847,119.37750228973213
3,train,250000,1338,81.30044843049322,0,610,0.32500090000000004,750000,800000,3.10622,0.0079288217950971972,187500,10744.308616,3414.3334540000005,73.22073352475782
3,test,125000,168,244.1964285714286,45,645,0.05,750000,800000,3.10622,0,187500,11792.117042,1047.7842849999997,119.29936513602132
4,train,250000,788,161.3261421319799,0,715,0.10000090000000006,1000000,1000000,4.00063,0.0069372432149741583,250000,15673.448505,3881.3236479999996,64.41101610498832
4,test,125000,155,381.90322580645153,230,1060,0.05,1000000,1000000,4.00063,0,250000,16721.06436,1047.5887070000008,119.32163755178769
5,train,250000,637,215.9890109890112,0,1430,0.1,1250000,1000000,5.10089,0.0066135632477022322,312500,20834.966353,4113.894197999998,60.769671743512376
5,test,125000,117,539.1452991452991,180,1230,0.05,1250000,1000000,5.10089,0,312500,21879.169177,1044.1783810000015,119.7113465232717
6,train,250000,721,189.49375866851585,0,1075,0.1,1500000,1000000,5.86306,0.0064717664788378143,375000,25995.76501,4116.587964999999,60.729905962303434
6,test,125000,93,705.4301075268816,270,1555,0.05,1500000,1000000,5.86306,0,375000,27037.697621,1041.9079190000011,119.97221416646116
7,train,250000,636,232.75943396226415,0,1035,0.1,1750000,1000000,7.13744,0.0062363916007711889,437500,31148.594277,4110.888827999999,60.814098960109376
7,test,125000,137,561.0218978102184,260,1485,0.05,1750000,1000000,7.13744,0,437500,32190.836795,1042.2179680000008,119.93652368119592
8,train,250000,637,246.49921507064366,0,1070,0.1,2000000,1000000,6.30975,0.0052740828180658185,500000,36784.412957,4593.568281,54.42392160230958
8,test,125000,144,548.1250000000002,280,1805,0.05,2000000,1000000,6.30975,0,500000,38743.615752,1959.1656589999984,63.80266999157323
